                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.80842,                0.51188,                  1.458,                0.85706,                0.48125,                 1.4327,                0.99418,                0.95359,                0.99305,                0.83694,                0.66293,                0.33828,                 1.4311,                0.68982,                0.26599,                 1.4676,               0.002179,               0.002179,               0.002179
                     82,                0.80832,                0.51033,                 1.4541,                0.86343,                0.48018,                  1.437,                0.99083,                0.91189,                 0.9877,                0.83235,                0.64636,                0.32297,                 1.4079,                0.68356,                0.29662,                 1.4728,                0.00208,                0.00208,                0.00208
                     83,                0.80331,                0.50595,                  1.445,                0.84119,                0.50181,                 1.4248,                0.95402,                0.98312,                 0.9916,                0.83977,                0.65509,                0.33009,                 1.4175,                 0.6767,                0.27205,                 1.4505,               0.001981,               0.001981,               0.001981
                     84,                0.78055,                0.49617,                 1.4298,                 0.8298,                0.47522,                 1.4144,                0.98682,                0.94781,                0.99072,                0.84066,                 0.6402,                0.33076,                 1.4021,                0.67327,                0.28045,                 1.4555,               0.001882,               0.001882,               0.001882
                     85,                0.79284,                0.48813,                 1.4314,                0.83817,                0.48146,                 1.4103,                0.96936,                 0.9789,                 0.9931,                0.83216,                0.66775,                0.33665,                 1.4303,                0.71836,                0.27654,                  1.496,               0.001783,               0.001783,               0.001783
                     86,                0.78359,                0.47919,                 1.4234,                0.81894,                0.45587,                 1.4056,                0.97047,                0.97061,                0.99296,                0.83943,                0.64121,                0.33111,                  1.403,                0.68986,                0.26318,                 1.4761,               0.001684,               0.001684,               0.001684
                     87,                0.78227,                0.48802,                 1.4215,                0.82954,                0.46321,                 1.4032,                0.99085,                0.97046,                0.99363,                0.84108,                0.64542,                0.32675,                 1.4021,                0.66538,                0.26452,                 1.4364,               0.001585,               0.001585,               0.001585
                     88,                0.75102,                0.47279,                 1.4095,                 0.7985,                0.43778,                 1.3885,                0.98079,                0.97046,                0.99252,                0.84391,                0.64827,                0.32788,                 1.4003,                0.66509,                0.27384,                 1.4279,               0.001486,               0.001486,               0.001486
                     89,                0.76644,                0.47386,                 1.4188,                 0.8025,                0.45263,                 1.3894,                0.96242,                0.97265,                0.99263,                0.83686,                0.66085,                0.33012,                 1.4124,                0.68841,                0.26609,                 1.4441,               0.001387,               0.001387,               0.001387
                     90,                0.75734,                0.47343,                 1.4048,                0.79517,                0.44707,                 1.3781,                0.96929,                 0.9789,                0.99288,                0.84399,                0.62918,                0.32099,                 1.3922,                0.66784,                0.25746,                 1.4329,               0.001288,               0.001288,               0.001288
                     91,                0.60862,                0.39283,                 1.3427,                 0.6331,                0.34515,                 1.3498,                0.98716,                0.97333,                0.99437,                0.84251,                0.63862,                0.32647,                 1.3981,                0.68356,                0.24714,                 1.4516,               0.001189,               0.001189,               0.001189
                     92,                0.59886,                0.34454,                 1.3253,                0.62617,                0.26197,                  1.326,                0.98646,                0.98312,                 0.9945,                0.83815,                0.63915,                0.31932,                 1.4091,                 0.6725,                0.24501,                 1.4468,                0.00109,                0.00109,                0.00109
                     93,                 0.6026,                0.33485,                 1.3341,                0.62306,                0.26544,                 1.3316,                0.98257,                0.96624,                0.99357,                0.84206,                0.64338,                0.32006,                  1.415,                0.66874,                 0.2694,                 1.4533,               0.000991,               0.000991,               0.000991
                     94,                0.60721,                0.33407,                 1.3432,                0.62343,                0.26041,                 1.3433,                0.96532,                0.96624,                0.99199,                0.84191,                0.63167,                0.31398,                 1.3985,                0.65827,                0.26476,                  1.436,               0.000892,               0.000892,               0.000892
                     95,                0.58653,                0.32851,                 1.3223,                0.60745,                0.25862,                 1.3163,                0.95042,                0.97057,                0.99063,                0.85304,                0.62256,                 0.3091,                 1.3879,                0.64506,                0.26126,                  1.428,               0.000793,               0.000793,               0.000793
                     96,                0.58142,                0.32555,                 1.3242,                0.60297,                0.24835,                 1.3152,                0.98312,                0.98298,                0.99373,                0.85367,                0.62529,                0.31527,                  1.393,                0.65703,                0.24087,                 1.4412,               0.000694,               0.000694,               0.000694
                     97,                0.57759,                0.32064,                 1.3209,                0.59298,                0.25499,                 1.3143,                0.97438,                0.96273,                0.99314,                0.85166,                0.62895,                 0.3196,                 1.3895,                0.65917,                0.24651,                  1.427,               0.000595,               0.000595,               0.000595
                     98,                 0.5682,                0.32029,                 1.3057,                0.58367,                0.24973,                 1.3007,                 0.9822,                 0.9789,                 0.9935,                0.85538,                 0.6248,                0.31901,                 1.3894,                0.65736,                0.24101,                 1.4238,               0.000496,               0.000496,               0.000496
                     99,                0.56902,                0.31681,                 1.2976,                0.58423,                0.24364,                 1.2865,                0.97901,                0.98388,                0.99406,                0.85758,                0.62109,                 0.3131,                 1.3846,                0.65574,                0.23946,                 1.4293,               0.000397,               0.000397,               0.000397
                    100,                0.56252,                0.31457,                 1.2991,                0.57345,                0.24325,                 1.2954,                0.98182,                0.98312,                0.99377,                0.85571,                0.61282,                 0.3088,                 1.3805,                0.64433,                0.25306,                 1.4224,               0.000298,               0.000298,               0.000298
